时间,车流量,温度,湿度,气压,道路拥堵指数,车速(m/s)
2023/3/1 0:00,3119,6.635445258,41.99118339,101.3044839,0.618239262,22
2023/3/1 0:15,1599,24.48466942,54.0491348,101.6923473,0.39096592,21
2023/3/1 0:30,1669,23.02168008,58.52492699,101.7202043,0.453731122,21
2023/3/1 0:45,2653,13.65666229,43.94120427,101.2014969,0.438440531,22
2023/3/1 1:00,2826,11.67475774,36.6316702,100.9778943,0.448393203,23
2023/3/1 1:15,3235,21.19719523,48.84718784,101.3166262,0.714612521,25
2023/3/1 1:30,2244,14.79019463,51.97865268,100.8422756,0.537916383,28
2023/3/1 1:45,2406,18.50584129,40.84221925,101.5226934,0.447473816,28
2023/3/1 2:00,1868,8.738976094,62.40461342,100.5852929,0.412314503,29
2023/3/1 2:15,3100,10.98706455,62.12049531,101.9838544,0.308731092,29
2023/3/1 2:30,2150,11.03532021,56.5622128,101.2138413,0.592507294,28
2023/3/1 2:45,2243,8.22016594,55.72755894,101.8039812,0.423302777,28
2023/3/1 3:00,3034,18.96106885,54.66915155,101.3201683,0.408195803,28
2023/3/1 3:15,1508,14.71022043,53.40637509,101.3901111,0.52632705,28
2023/3/1 3:30,2655,16.4842699,54.01639445,100.9281826,0.56075615,28
2023/3/1 3:45,2393,15.54806354,48.92676289,101.7581603,0.513128114,28
2023/3/1 4:00,2096,10.06227515,40.72613974,100.776448,0.457615791,28
2023/3/1 4:15,1660,18.29708293,44.22694341,100.9838335,0.607669074,28
2023/3/1 4:30,2952,9.438184681,46.00629266,101.4788186,0.526375476,28
2023/3/1 4:45,1626,12.1272457,40.39062778,101.9609835,0.390010326,7
2023/3/1 5:00,2795,10.9639209,62.51414851,102.2639254,0.493564497,7
2023/3/1 5:15,2097,14.97958772,59.56113598,100.0502272,0.396508285,7
2023/3/1 5:30,1710,13.91425427,49.69320111,101.1467733,0.437361986,7
2023/3/1 5:45,2031,13.26890523,44.61831319,101.4350738,0.538524561,7
2023/3/1 6:00,2064,13.50479701,64.30758329,101.3352236,0.300023762,7
2023/3/1 6:15,3070,16.73298702,68.31783435,102.2828079,0.503099726,7
2023/3/1 6:30,2165,7.832454928,54.61611883,100.7258745,0.46812989,6
2023/3/1 6:45,2702,16.58640686,40.47457424,101.7274187,0.476972631,7
2023/3/1 7:00,1586,23.1377403,33.44006396,100.908587,0.531850531,7
2023/3/1 7:15,2943,6.034060675,49.73277635,101.2144367,0.650673672,7
2023/3/1 7:30,2050,9.727314964,35.89658105,100.8098089,0.555694634,7
2023/3/1 7:45,2488,7.685600943,32.98554496,101.1313964,0.386745197,7
2023/3/1 8:00,2734,17.6845592,52.91363867,102.572132,0.566389011,7
2023/3/1 8:15,2357,8.357980178,56.87060573,101.8259911,0.366435871,7
2023/3/1 8:30,2990,-2.865368746,47.73686778,101.4000339,0.452275638,7
2023/3/1 8:45,2545,12.99016821,58.71999072,101.5911306,0.482898613,7
2023/3/1 9:00,3344,17.07601824,49.36503669,101.7721251,0.634060733,7
2023/3/1 9:15,2251,6.36850418,46.03797371,100.8473937,0.485705697,7
2023/3/1 9:30,2431,6.263059951,51.82964925,101.6072771,0.530186872,7
2023/3/1 9:45,2297,19.00457406,41.39398755,100.6947235,0.501932032,6
2023/3/1 10:00,2527,12.27172522,46.68267421,102.092059,0.365469987,6
2023/3/1 10:15,3456,20.90498887,45.01645248,101.3382097,0.55513051,6
2023/3/1 10:30,2795,9.880072365,59.57195942,101.3957482,0.542643217,6
